Y,X
432,1246
846,1428
938,1358
590,1392
674,1726
760,1200
814,1262
848,1436
1022,1278
776,1410
354,1198
668,1214
1204,1628
490,1020
470,1316
1282,1096
678,844
942,1326
346,1356
1288,1270
816,1238
372,1336
460,1434
720,832
580,1376
1104,980
774,1070
750,1312
444,1052
646,1744
668,856
1240,994
478,1532
392,1246
712,1740
840,838
576,1150
968,872
1206,1446
1132,1554
386,1170
742,1032
556,1616
742,1190
974,1270
1274,1282
1018,1610
558,1282
724,1254
376,1292
580,932
788,902
544,1618
906,1100
756,1516
920,1088
588,1344
360,1236
880,1268
582,1174
618,1148
934,1638
684,1358
1122,1250
512,1174
926,988
1210,1312
582,1006
746,1456
780,1658
412,1544
1068,1572
598,1354
754,1566
808,1386
730,1548
1160,1306
1256,1446
1070,1598
450,1346
852,1074
1128,1080
784,1396
1304,1472
888,1780
994,1756
768,1704
660,1226
904,1078
986,1292
424,1028
908,1672
872,992
1096,1402
830,1700
1134,1160
536,1382
808,1320
1046,880
948,974
796,1082
774,1338
1178,1328
1012,1254
862,1052
464,1380
1176,1460
1270,1536
990,1064
660,1318
496,1648
894,1696
378,1346
922,1038
498,1260
448,1004
1162,1450
402,1112
436,1338
990,1232
752,1238
616,1160
968,832
1114,898
698,1354
1092,1512
932,1612
638,1182
1070,1212
750,1028
624,1210
852,1462
1018,1264
560,888
1178,1062
574,1228
402,1256
902,1494
684,966
406,1168
1012,1462
1222,1388
614,1126
746,1166
1042,1436
524,1008
626,1190
740,1602
382,1438
368,1376
712,1042
576,1120
860,1646
1088,1290
1226,982
1080,1560
680,1378
756,1612
532,1028
358,1328
748,1372
1210,1284
610,1682
1084,1728
1262,1354
678,1672
516,1560
1124,1010
454,1056
558,1196
1022,1694
1294,1522
994,1568
506,1136
1194,1072
602,1168
1206,1430
1116,1232
634,1156
494,1052
1282,1372
1148,1512
1208,1008
868,1546
1186,1214
1196,960
522,1192
1158,1278
856,1624
1062,1586
450,1040
1196,1186
1024,1540
1116,1462
972,1572
408,1230
978,1104
1206,1608
624,1382
1270,1130
1140,1294
1200,1480
532,906
532,1168
728,1408
686,1112
496,976
1118,1260
996,1710
942,988
446,1510
784,1556
706,1682
718,1512
1136,954
470,1542
676,990
388,1312
690,1370
842,1602
840,1178
544,1278
1232,1350
878,1734
834,1216
756,1550
1100,964
928,1202
432,1134
782,1016
860,1104
704,1758
424,1074
542,1628
1158,962
536,1600
660,1562
896,1438
526,1222
644,1562
1006,1180
1232,1470
882,1296
604,1626
560,1108
688,1064
1300,1192
736,1260
696,1732
672,1426
1142,1192
1292,1456
876,836
616,1658
840,1730
924,1298
1140,928
1158,1046
426,1204
1024,1678
432,1294
978,1370
510,1536
752,1192
800,1296
1296,1306
648,1214
1062,882
842,1544
1200,1198
1212,1528
600,896
1184,1538
782,1162
1326,1338
1094,1024
568,1270
1078,1506
552,952
626,1676
512,1346
440,1470
1078,1326
420,1482
1188,1056
868,1124
1068,1318
452,1092
594,1612
1060,1008
994,1534
760,1508
1178,972
1144,1618
894,1216
732,922
936,1490
988,960
592,1016
820,1654
1014,1700
708,1320
992,1614
382,1208
1298,1360
1104,1336
474,1290
1064,980
702,1108
772,1754
746,1298
916,1194
1016,1350
620,1260
822,1216
1304,1326
742,1726
1126,1352
704,914
970,1416
638,1332
610,954
750,1330
966,944
848,860
820,988
658,948
482,1086
532,1132
1230,1310
1068,1288
418,1432
1294,1280
624,1606
1016,1510
1098,1372
1000,1204
552,1208
1172,1126
746,946
888,1010
1236,1026
450,1180
1094,1556
924,1422
956,1244
814,1578
1064,1390
1298,1402
746,1274
1218,1500
1096,1706
1074,1300
588,1554
608,1202
958,1168
536,1046
622,1466
672,1582
1154,1492
1010,1272
944,1562
1004,1646
794,1706
1092,1244
1124,1670
1202,1108
942,1450
1096,1278
954,1644
606,1404
816,1438
386,1360
1044,1136
538,1098
872,1344
516,998
580,990
764,1642
858,1776
934,1770
808,1270
1132,1246
1276,1186
1166,1672
1282,1326
1086,1126
1060,1100
1088,1200
968,862
484,1248
788,1126
1046,1668
588,1130
756,1392
962,1548
958,1720
1256,1272
872,1316
956,1378
1002,980
1224,1456
810,1214
784,1582
1294,1124
530,1460
876,1604
884,1180
642,994
704,1026
1044,1712
524,1072
768,964
896,924
496,1424
1006,1736
960,1204
922,1386
682,1134
668,1336
944,1290
776,942
616,1354
810,1098
686,1480
766,1256
718,1626
766,1328
368,1276
546,912
1066,1518
1094,1310
564,1180
1322,1228
1054,1064
508,1524
952,1332
456,992
596,1182
1192,1370
992,1252
994,1038
1010,944
988,1110
770,996
782,1100
1140,1450
1310,1220
512,1400
718,1088
1196,1594
918,1622
1274,1268
1150,1640
1300,1240
1144,1176
580,1410
704,954
722,1674
1180,990
580,1646
1108,920
1100,1672
1322,1404
672,1256
728,1584
794,1212
888,1142
576,886
462,1488
810,866
834,1068
854,1412
1092,1262
948,858
1328,1300
1246,1166
884,1042
1166,1140
500,1108
972,976
912,1320
986,984
486,1386
468,1224
668,1182
860,1688
1116,1440
912,1508
700,1522
910,1700
966,1226
660,1268
898,1378
1016,1030
970,1608
618,1246
930,1070
1000,1110
628,1444
924,890
710,990
938,1548
794,1094
1128,1326
698,1000
784,1480
710,1498
554,1172
648,1516
1040,1268
536,952
586,1152
512,1284
654,1340
742,1232
742,1570
642,1148
1006,1400
968,888
468,1332
612,1006
792,1036
1102,1198
566,1408
982,850
964,992
480,1486
878,1062
628,1024
938,1338
630,1636
946,1764
994,1132
952,1318
690,888
914,1458
710,1336
528,1480
690,906
596,986
832,1420
724,1478
884,1224
1138,1070
1158,1412
558,1348
670,1024
1196,1282
1106,936
634,938
900,1544
1120,1592
868,1528
1012,924
1028,1450
932,876
948,1632
650,1322
652,1644
930,1348
804,1118
1208,1544
728,1078
554,1572
968,1660
1148,1574
894,1476
506,986
818,1118
1114,1658
608,1152
1142,904
450,1492
686,1124
558,964
768,876
594,944
1006,844
