Y,X
860,1228
1360,1486
1070,1280
1224,1230
944,1056
1162,1192
598,1316
522,1136
612,1344
930,1254
564,1326
898,808
1422,1148
756,1362
1364,770
608,1292
1230,1420
1268,1244
966,1294
1372,906
586,1280
926,1232
608,868
888,1074
984,1536
1142,710
1184,1208
922,1206
946,1376
626,1440
1508,1264
634,1392
1104,1122
864,1270
1112,1160
1366,1502
840,1466
1174,1170
662,1392
1352,848
1112,1328
992,1298
642,1212
1286,1436
1230,1086
1204,1588
1518,1132
662,1492
592,1246
642,1040
810,1542
1146,944
1286,1216
1002,1130
842,704
1452,1250
1370,1480
728,974
1050,990
1052,1472
904,1234
1156,1344
1318,1490
1098,1332
1048,1538
1002,758
842,1448
654,954
912,698
1272,1256
724,812
1332,1214
1144,1514
1116,1316
612,1104
1046,864
814,1030
536,1072
686,966
812,706
908,902
1166,1492
1312,1276
1120,658
588,1052
666,1030
1332,1090
1526,1134
1222,746
1292,1540
1046,1348
1008,1020
562,1144
618,1184
1074,840
676,784
1044,976
748,764
900,1062
674,966
722,1264
1432,1316
878,716
646,1076
1440,1414
1020,1590
1420,1406
1190,694
1094,688
632,1410
1422,1356
1068,754
750,812
1150,794
698,1330
1178,1556
936,1060
1142,960
1156,1564
1076,740
1234,1534
1122,1572
744,958
1412,816
668,1236
1472,1268
1202,1432
1172,910
1406,1342
1024,1518
1300,1396
982,1260
1350,880
654,1124
1068,722
856,1104
1382,1080
1240,1410
1500,1276
1260,944
876,1054
774,1558
1486,968
842,1592
1376,1274
958,1186
1340,1240
878,1030
1010,1314
1196,802
650,858
1082,954
942,1548
602,1082
932,1110
638,1090
1188,1128
1326,1338
702,794
1292,750
926,1100
1008,1490
1250,824
658,1106
664,876
730,1086
1440,1326
1390,1446
1098,1608
1256,1252
846,1364
746,1154
690,1320
1112,1056
730,1004
1206,936
1008,702
614,1402
792,1272
654,1002
1318,1028
560,1076
1114,848
1244,1382
1006,1108
1370,1100
758,1006
1244,1148
1176,1412
1008,682
734,1346
1288,1288
898,770
778,728
858,1150
694,1412
918,1316
1200,742
1056,1376
986,1224
886,1590
764,948
638,1444
1174,944
1156,1130
860,1074
1032,712
1460,906
1074,1316
1306,1170
1080,1116
592,1190
1296,1150
1156,680
758,1210
648,1202
1300,780
982,854
1066,1264
1216,868
814,1434
1076,814
1320,956
768,1354
1390,810
1122,1008
980,656
946,1174
1086,1454
1334,1000
894,1094
944,1460
1310,1508
1430,1058
1372,1394
816,1308
734,1284
1210,1176
1328,1056
950,1622
1484,1020
1348,1386
1336,1366
844,916
982,1486
1126,708
568,1116
1336,1202
618,1218
1066,1454
1298,1336
944,1306
894,924
1008,870
1172,1574
1382,1346
994,1540
1344,1508
1108,1000
1364,1320
1352,940
852,958
624,876
1100,1504
760,748
1064,676
1180,778
598,1360
1442,1004
1354,1422
528,1096
794,840
1420,844
1168,748
704,1160
968,886
856,1512
1166,726
1338,928
1376,1424
1400,1178
580,1332
1218,1468
874,974
656,1280
1308,912
698,1474
1236,1330
676,1076
924,1080
1506,1196
916,1348
726,1498
972,670
1130,1188
1096,1024
1254,756
1218,842
840,816
1124,1410
1056,756
798,950
1212,1092
832,984
1466,1044
1136,846
1112,880
628,960
1018,1068
956,1038
1128,1350
1190,1486
1150,902
1044,1088
1214,1012
1222,928
578,1212
964,1138
866,1544
740,1440
932,758
1094,988
866,1164
1086,1100
1414,1006
694,914
1214,1498
638,1126
1376,1066
996,922
754,1440
1020,882
912,1572
1218,826
1190,1554
1328,1300
728,1382
1468,1102
1080,1268
1276,728
908,1172
1190,1276
1302,1438
972,1422
788,806
774,858
912,826
1064,1104
816,1510
540,1220
658,1320
694,1348
772,1402
1364,1002
596,948
1462,1018
1202,716
1110,682
836,1196
1276,996
890,1572
1426,886
1462,1238
1450,1184
1386,1040
926,1354
1270,1368
1124,696
1188,956
836,1342
1140,1018
986,1344
1174,808
1420,1162
1424,910
852,858
894,972
706,1088
1074,1544
1472,1148
742,1038
912,1500
558,1104
1040,1140
868,1348
1510,1144
722,796
942,744
878,1116
1062,1438
1122,1022
1126,1526
1310,1112
718,1324
618,900
1384,882
586,1152
664,1062
850,1426
1288,990
994,1574
718,1090
1040,1048
1228,812
980,1616
624,1304
624,1260
942,768
1094,854
1138,1042
1488,1232
904,1318
702,996
1168,958
1104,958
948,1442
1186,790
758,832
700,1450
1068,706
1304,1480
1142,1330
966,1316
804,1010
986,1018
932,1530
812,1044
1052,812
732,1234
984,1038
952,1550
880,850
1242,780
984,1602
830,1582
1216,914
1184,750
1196,1524
978,1572
1042,1448
728,1454
1064,1032
1422,1134
826,712
882,1560
1032,1244
606,1036
758,1032
1096,808
872,998
1134,924
654,1168
848,1036
1076,1188
792,752
682,1356
712,910
1306,960
906,1482
1146,1496
1148,1482
1512,1220
1260,1496
1490,1154
934,994
1050,1438
1026,800
1444,944
816,1490
1244,1424
864,1242
678,1108
778,1022
1502,1256
616,1242
