Y,X
510,802
812,930
1030,790
394,1292
500,818
1212,1524
882,820
954,1444
1060,1518
1114,1492
428,1338
904,796
394,1246
1176,1022
936,856
1236,1486
1230,776
1348,1334
996,676
1320,1054
1072,1102
564,1518
558,1274
550,794
628,1426
406,1284
728,716
954,882
932,1070
1010,1028
444,1068
622,1432
1234,966
982,948
1092,1412
850,1622
484,1376
1318,1066
720,1088
1282,1420
762,1238
700,1554
838,1626
612,1448
1144,858
540,1428
1286,862
918,1066
1188,1398
1262,1018
818,1114
548,962
460,988
564,1288
974,1102
546,1408
698,1310
804,994
1264,880
1274,1006
1086,810
934,1048
894,656
718,1196
1016,1060
616,736
1046,1126
676,1534
872,1574
970,1612
876,748
632,1382
1106,1502
864,1072
680,1016
894,1394
690,1014
772,1272
728,1528
628,1446
668,762
1034,1284
926,1568
474,920
1386,1208
444,908
730,1250
704,1226
912,710
796,1238
930,980
856,900
422,1236
758,1398
1200,1324
956,1530
1246,980
734,1596
1216,890
526,796
1140,814
814,1336
488,1448
910,990
768,1596
916,884
726,1188
848,862
826,1200
542,1448
780,1154
1310,1110
606,1410
772,700
1122,796
1272,1120
864,1340
676,878
576,1464
1070,1416
1170,730
964,1584
504,1180
1296,964
1068,958
1052,780
662,1016
1036,1484
1180,784
1116,972
612,1374
636,1128
614,816
578,1392
582,1266
608,830
1222,1396
412,1132
674,958
1302,1424
744,790
842,1494
1218,1482
836,962
652,848
1174,1046
1160,1282
588,1470
674,1032
808,1314
580,1486
554,844
1090,1080
452,1336
980,708
532,852
770,1038
928,916
982,1348
786,796
1284,1192
684,1290
750,854
708,1546
972,1148
1216,920
532,938
486,884
810,1506
856,1298
1154,926
734,1098
442,928
934,1376
1122,1090
544,828
1046,850
1090,1426
540,1078
560,1426
504,1466
956,836
728,1492
1166,1376
684,1000
1218,1170
1020,672
612,1490
818,1418
752,1558
950,736
468,1316
656,1240
692,912
878,1068
1170,1444
672,1200
1224,992
814,746
1346,1016
1132,1464
852,1558
576,1344
688,1540
1082,1464
1044,894
1000,934
1238,1402
678,1420
1226,882
754,712
812,1184
1196,1156
1074,1136
704,750
536,1472
454,1056
510,988
1224,960
668,1094
498,1082
1246,1312
1004,764
638,720
622,1106
640,1464
930,958
832,668
800,868
598,1560
854,812
1082,1396
1120,1264
580,1522
666,1572
976,1260
934,1478
902,1286
1252,1036
784,1444
744,976
1296,894
532,1026
836,1106
1136,1264
570,826
1152,998
480,1436
1156,1448
398,1072
876,710
644,1056
1060,1448
1042,1472
878,1254
1052,1022
950,1516
1092,1542
1078,900
694,1042
990,1330
1062,1192
1258,1188
804,938
820,1276
740,1234
726,1078
534,1370
1108,952
1362,1176
740,1158
636,1004
1000,1576
1350,1214
610,872
1012,984
990,1176
742,1382
1274,1230
854,1136
1118,1242
552,864
550,1362
1040,1062
1008,1432
1228,1136
1230,834
958,1028
574,976
1112,1046
776,1576
908,1180
804,782
778,1256
1158,1214
522,1256
792,704
1156,1536
914,736
930,1058
1168,994
1216,1430
1026,1448
488,1024
562,942
498,1370
1288,932
1320,1260
550,1064
1300,1006
478,1306
422,1278
884,1036
768,1526
820,1516
1202,1082
458,1212
856,1166
614,1328
424,1124
684,730
960,1138
850,1412
442,1228
712,1102
546,908
538,1124
988,832
1084,1372
1066,802
504,1288
922,792
776,1548
574,1042
592,1136
1334,1098
528,1082
698,1184
812,1528
702,1362
1310,1092
936,744
718,1446
860,936
950,1462
968,1186
590,900
700,1112
1232,1308
810,972
1264,930
1190,1260
1042,1270
886,1588
1376,1178
892,1022
862,788
620,1418
756,966
1132,1500
1036,1540
996,1082
1318,1320
