Y,X
724,768
356,1456
366,1134
682,746
1124,1426
1104,1358
810,794
942,1516
988,1468
464,812
434,1382
638,1294
912,738
422,850
806,1632
606,1568
320,1124
1208,1276
666,1444
710,1530
340,1040
524,768
1248,1244
948,1294
478,824
986,1278
372,1098
712,1298
742,1510
1224,1298
598,1450
332,1120
882,1262
446,896
322,1146
692,1272
920,1258
442,1504
398,890
674,1504
440,776
1002,1452
348,976
416,872
1226,1110
1234,1284
448,1204
700,1618
634,724
984,734
1144,1386
918,1622
354,1402
816,754
784,1348
662,986
522,1524
544,770
558,818
544,1516
356,1306
446,822
390,910
324,1280
302,1112
1032,1286
908,1254
310,1088
1154,1058
560,760
694,996
522,990
572,1558
932,1264
880,736
1166,1260
488,796
352,1006
324,1040
782,954
438,1478
358,1384
1022,1542
1102,1458
444,1180
580,986
748,1012
1202,972
1204,1378
768,762
602,752
1162,1100
1082,932
376,938
512,1514
928,710
420,1376
1192,1172
852,1532
940,1140
872,772
854,802
1244,1160
544,1342
524,1138
748,712
1020,898
944,756
802,1484
830,1032
474,1248
920,900
552,1540
844,1320
1100,1196
310,1262
644,1198
1208,1216
540,1482
626,794
1140,938
516,1364
472,1496
472,936
832,1486
1084,876
420,976
