Y,X
654,1728
1312,1812
1330,1190
1030,970
588,1628
1342,1788
1310,1248
1238,1298
612,1670
710,1606
1310,1600
960,1718
1140,1252
638,1170
1448,1626
1340,1208
1262,1202
574,1288
560,1374
630,1698
1014,1796
1372,1746
772,1604
1216,1250
740,1636
568,1328
550,1292
1222,1658
1118,1250
1228,1206
1334,1574
1376,1174
1256,1682
1434,1612
776,1146
676,1746
560,1584
926,1710
1162,1234
1012,1724
1208,1664
890,1510
564,1476
554,1542
914,1050
1276,1294
784,1682
792,1858
1218,1744
1274,1744
808,1120
888,1696
758,1612
864,1600
996,1808
1088,966
1024,1532
836,1384
1358,1146
720,1094
872,1170
1040,996
662,1138
1016,1236
570,1226
962,1040
812,1344
1180,1522
974,1292
1234,1040
506,1368
1152,1840
1212,1008
1384,1316
818,1438
1048,1684
1294,1626
1110,1362
1116,960
1426,1306
1152,1030
884,1786
952,1512
968,1464
922,1074
1410,1306
1300,1398
1400,1492
1258,1134
1456,1410
1032,1570
1180,1382
1140,1090
1008,1314
996,1116
868,1348
656,1564
712,1052
756,1204
